3,1,5,7,1,0,0,1,1,pasekesa,1
3,1,5,7,2,0,0,1,1,wafa,1
3,1,5,7,3,0,0,1,1,hazvienzane neakabata hohwa,1
3,1,5,7,3,0,0,1,2,hazvienzani neakabata hohwa,1
3,1,5,7,4,0,0,1,1,anofira mumbereko,1
3,1,5,7,5,0,0,1,1,wakakwira churu,1
3,1,5,7,6,0,0,1,1,akadzipwa neganda remhuru,1
3,1,5,7,6,0,0,1,2,akazodzipwa neganda remhuru,1
3,1,5,7,7,0,0,1,1,akasiya jira mumasese,1
3,1,5,7,7,0,0,1,2,akapisa jira,1
3,1,5,7,8,0,0,1,,musi wacharimwa,1
3,1,5,7,9,0,0,1,1,inyoka,1
3,1,5,7,10,0,0,1,1,muranda kumwe,1
3,1,5,7,11,0,0,1,1,tange nhamo,1
3,1,5,7,12,0,0,1,1,masimba mashoma,1
3,1,5,7,13,0,0,1,1,amai havaroodzwi,1
3,1,5,7,13,0,0,1,2,amai havaroodzwe,1
3,1,5,7,14,0,0,1,1,kutadza kutunga hurema hwacho,1
3,1,5,7,14,0,0,1,2,kutadza kutunga hutera hwacho,1
3,1,5,7,14,0,0,1,3,kutadza kutunga hurema hwacho,1
3,1,5,7,14,0,0,1,4,kutadza kutunga hutera hwacho,1
3,8,5,7,1,0,0,1,1,saka,1
3,8,5,7,2,0,0,1,1,chisi,1
3,8,5,7,3,0,0,1,1,jiri,1
3,8,5,7,4,0,0,1,1,mbudzana,1
